,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,1.3519444444444446,103.76583333333332,88.3,5000
1,1.3519444444444446,103.76583333333332,88.9,5000
2,1.3513888888888888,103.76611111111112,89.3,15000
3,1.3513888888888888,103.76611111111112,89.7,6000
4,1.3513888888888888,103.76611111111112,90.5,6000
5,1.3519444444444446,103.76583333333332,91.3,12000
6,1.3519444444444446,103.76583333333332,92.0,12000
7,1.3513888888888888,103.76611111111112,92.4,10000
8,1.3513888888888888,103.76611111111112,93.3,6000
9,1.3513888888888888,103.76611111111112,93.8,6000
10,1.3513888888888888,103.76611111111112,94.2,10000
11,1.3513888888888888,103.76611111111112,95.0,6000
12,1.3513888888888888,103.76611111111112,95.8,10000
13,1.3513888888888888,103.76611111111112,96.3,6000
14,1.3513888888888888,103.76611111111112,96.8,10000
15,1.3513888888888888,103.76611111111112,97.2,6000
16,1.3519444444444446,103.76583333333332,98.0,12000
17,1.3513888888888888,103.76611111111112,98.7,6000
18,1.3513888888888888,103.76611111111112,99.5,6000
19,1.3519444444444446,103.76583333333332,100.3,11000
